t Vext G_frac
2.139e-05 -4.900e-01 0.000e+00
2.191e-05 -4.900e-01 0.000e+00
2.245e-05 -4.900e-01 0.000e+00
2.300e-05 -4.900e-01 0.000e+00
2.356e-05 -4.900e-01 0.000e+00
2.413e-05 -4.900e-01 0.000e+00
2.472e-05 -4.900e-01 0.000e+00
2.531e-05 -4.900e-01 0.000e+00
2.592e-05 -4.900e-01 0.000e+00
2.653e-05 -4.900e-01 0.000e+00
2.717e-05 -4.900e-01 0.000e+00
2.781e-05 -4.900e-01 0.000e+00
2.846e-05 -4.900e-01 0.000e+00
2.913e-05 -4.900e-01 0.000e+00
2.982e-05 -4.900e-01 0.000e+00
3.051e-05 -4.900e-01 0.000e+00
3.122e-05 -4.900e-01 0.000e+00
3.195e-05 -4.900e-01 0.000e+00
3.269e-05 -4.900e-01 0.000e+00
3.344e-05 -4.900e-01 0.000e+00
3.421e-05 -4.900e-01 0.000e+00
3.499e-05 -4.900e-01 0.000e+00
3.579e-05 -4.900e-01 0.000e+00
3.661e-05 -4.900e-01 0.000e+00
3.744e-05 -4.900e-01 0.000e+00
3.829e-05 -4.900e-01 0.000e+00
3.916e-05 -4.900e-01 0.000e+00
4.004e-05 -4.900e-01 0.000e+00
4.094e-05 -4.900e-01 0.000e+00
4.186e-05 -4.900e-01 0.000e+00
4.280e-05 -4.900e-01 0.000e+00
4.375e-05 -4.900e-01 0.000e+00
4.473e-05 -4.900e-01 0.000e+00
4.572e-05 -4.900e-01 0.000e+00
4.674e-05 -4.900e-01 0.000e+00
4.777e-05 -4.900e-01 0.000e+00
4.883e-05 -4.900e-01 0.000e+00
4.990e-05 -4.900e-01 0.000e+00
5.100e-05 -4.900e-01 0.000e+00
5.212e-05 -4.900e-01 0.000e+00
5.326e-05 -4.900e-01 0.000e+00
5.443e-05 -4.900e-01 0.000e+00
5.562e-05 -4.900e-01 0.000e+00
5.683e-05 -4.900e-01 0.000e+00
5.807e-05 -4.900e-01 0.000e+00
5.933e-05 -4.900e-01 0.000e+00
6.061e-05 -4.900e-01 0.000e+00
6.193e-05 -4.900e-01 0.000e+00
6.326e-05 -4.900e-01 0.000e+00
6.463e-05 -4.900e-01 0.000e+00
6.602e-05 -4.900e-01 0.000e+00
6.744e-05 -4.900e-01 0.000e+00
6.889e-05 -4.900e-01 0.000e+00
7.037e-05 -4.900e-01 0.000e+00
7.188e-05 -4.900e-01 0.000e+00
7.341e-05 -4.900e-01 0.000e+00
7.498e-05 -4.900e-01 0.000e+00
7.658e-05 -4.900e-01 0.000e+00
7.821e-05 -4.900e-01 0.000e+00
7.988e-05 -4.900e-01 0.000e+00
8.158e-05 -4.900e-01 0.000e+00
8.331e-05 -4.900e-01 0.000e+00
8.507e-05 -4.900e-01 0.000e+00
8.687e-05 -4.900e-01 0.000e+00
8.871e-05 -4.900e-01 0.000e+00
9.059e-05 -4.900e-01 0.000e+00
9.250e-05 -4.900e-01 0.000e+00
9.445e-05 -4.900e-01 0.000e+00
9.644e-05 -4.900e-01 0.000e+00
9.847e-05 -4.900e-01 0.000e+00
1.005e-04 -4.900e-01 0.000e+00
0.000e+00 -4.000e-01 0.000e+00
1.000e-07 -3.900e-01 0.000e+00
2.020e-07 -3.900e-01 0.000e+00
3.060e-07 -3.900e-01 0.000e+00
4.122e-07 -3.900e-01 0.000e+00
5.204e-07 -3.900e-01 0.000e+00
6.308e-07 -3.900e-01 0.000e+00
7.434e-07 -3.900e-01 0.000e+00
8.583e-07 -3.900e-01 0.000e+00
9.755e-07 -3.900e-01 0.000e+00
1.095e-06 -3.900e-01 0.000e+00
1.217e-06 -3.900e-01 0.000e+00
1.341e-06 -3.900e-01 0.000e+00
1.468e-06 -3.900e-01 0.000e+00
